Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,Landmark District or Building,landmarkDistrict_terms,Latitude,Longitude,NTA
both,noches mexicanas,Rancho mio Corp,Noches Mexicanas,524,Brook ave,Bronx,10454,"524  Brook ave , Bronx, NY",132,272,yes,yes,yes,no,,40.814575,-73.915153,Mott Haven-Port Morris
both,El gallo negro,La mexican inc,El gallo negro,111-12,Roosevelt ave.,Queens,11368,"111-12 Roosevelt ave., Queens, NY",180,168,yes,yes,yes,no,,40.751658,-73.855529,Corona
sidewalk,juan bar restaurant,juan bar corp,juan bar corp,96-15,Roosevelt,Queens,11368,"96-15  Roosevelt, Queens, NY",128,,yes,no,yes,no,,,,
sidewalk,Ronin Stones,Ronin Stones Inc.,Ronin Stones,69A,Clinton St,Manhattan,10002,"69A Clinton St, Manhattan, NY",100,,yes,no,yes,no,,40.719341,-73.98495,Chinatown
roadway,Periyali,35 WEST 20TH STREET REST. INC.,PERIYALI,35,WEST 20TH,Manhattan,10011,"35 WEST 20TH, Manhattan, NY",,152,no,yes,yes,no,,40.740213,-73.992205,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Allora,Vuthaj LLC,Allora,145,E 47 th Street,Manhattan,10017,"145  E 47 th Street, Manhattan, NY",360,,yes,no,yes,no,,,,
both,Tribeca's Kitchen,200 Tribeca Restaurant LLC,Tribeca's Kitchen,200,Church Street,Manhattan,10013,"200 Church Street, Manhattan, NY",520,528,yes,yes,yes,yes,yes,40.716243,-74.006915,SoHo-TriBeCa-Civic Center-Little Italy
both,ARTICHOKE BASILLE'S PIZZA,"ARTICHOKE BAY RIDGE, LLC",ARTICHOKE BASILLE'S PIZZA,undefined,9102 4 AVENUE,Brooklyn,11209,"9102 4 AVENUE, Brooklyn, NY",102,136,yes,yes,yes,no,,40.619022,-74.029908,Bay Ridge
sidewalk,Mex Carrolls Diner,Happy one restaurant inc.,Happy one restaurant inc.,192,Columbia Street,Brooklyn,11231,"192 Columbia Street, Brooklyn, NY",48,,yes,no,yes,no,,40.685477,-74.002495,Carroll Gardens-Columbia Street-Red Hook
sidewalk,El patron restaurant & lounge,El patron restaurant & lounge inc,El patron restaurant & lounge inc,520,Bay st,Staten Island,10301,"520 Bay st , Staten Island, NY",256,,yes,no,yes,no,,40.629263,-74.076606,Stapleton-Rosebank
both,J.J Kinahan's,MBG Taverns on 6th,J.J. Kinahan's,757,6th Avenue,Manhattan,10010,"757 6th Avenue, Manhattan, NY",663,312,yes,yes,yes,no,,40.744332,-73.991775,Hudson Yards-Chelsea-Flatiron-Union Square
both,Le Succulent,Le Comptoir,Le Succulent,291,5th Ave,Brooklyn,11215,"291 5th Ave, Brooklyn, NY",195,104,yes,yes,yes,no,,40.673624,-73.982581,Park Slope-Gowanus
both,THE BASAC II INC,THE BASAC II INC,THE BASAC II INC,15809,NORTHERN BLVD UNIT B,Queens,11358,"15809 NORTHERN BLVD UNIT B, Queens, NY",144,144,yes,yes,yes,no,,40.763442,-73.807145,Murray Hill
both,BAKERI,"150 WYTHE, INC",BAKERI,undefined,105 FREEMAN STREET,Brooklyn,11222,"105 FREEMAN STREET, Brooklyn, NY",275,200,yes,yes,no,no,,40.734235,-73.957314,Greenpoint
both,BAGEL EXPRESS,347 LEX BAGEL CORP.,BAGEL EXPRESS,undefined,347 LEXINGTON AVENUE,Manhattan,10016,"347 LEXINGTON AVENUE, Manhattan, NY",48,112,yes,yes,no,no,,40.749916,-73.977147,Murray Hill-Kips Bay
sidewalk,Dillingers Pub & Grill,"CP Drago , Inc.",Dillingers Pub & Grill,4619,30th Avenue,Queens,11103,"4619 30th Avenue , Queens, NY",640,,yes,no,yes,no,,40.761543,-73.909965,Astoria
sidewalk,SERAFINA 105,SERAFINA 2735 CORP,SERAFINA 105,2737,BROADWAY,Manhattan,10025,"2737 BROADWAY, Manhattan, NY",200,,yes,no,yes,no,,40.800348,-73.968035,Upper West Side
roadway,The Phoenix,Hughes Murray Walsh LLC,The Phoenix,447,East 13th Street,Manhattan,10009,"447 East 13th Street, Manhattan, NY",,84,no,yes,yes,no,,40.730215,-73.982003,East Village
roadway,il Buco Alimentari & Vineria,il Buco Vineria LLC,il Buco Vineria LLC,53,Great Jones,Manhattan,10012,"53 Great Jones, Manhattan, NY",,216,no,yes,yes,yes,yes,,,
both,mamajuana cafe,Culturas Fiesta Corporation,Mamajuana Cafe,33-15,56th Street,Queens,11377,"33-15 56th Street, Queens, NY",270,360,yes,yes,yes,no,,40.753173,-73.904984,Woodside
both,Smith St Bar + Kitchen,SBK Hospitality llc,SBK Hospitality llc,166,Smith Street,Brooklyn,11201,"166 Smith Street, Brooklyn, NY",2450,224,yes,yes,yes,no,,40.685992,-73.990979,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
sidewalk,Yia Yia's Taverna,YIA YIA'S TAVERNA LLC,YIA YIA'S TAVERNA LLC,1035,Flushing Avenue,Brooklyn,11237,"1035 Flushing Avenue, Brooklyn, NY",91,,yes,no,yes,no,,40.703884,-73.930896,Bushwick North
both,B & L Mordecai Inc,Code Red Restaurant & Lounge,Code Red Restaurant & Lounge,1320,East Gun Hill Road,Bronx,10469,"1320 East Gun Hill Road, Bronx, NY",760,320,yes,yes,yes,no,,40.871385,-73.84803,Allerton-Pelham Gardens
sidewalk,MR. MARIO POLLOS A LA BRASA INC,MR MARIO POLLOS A LA BRASA INC,MR MARIO POLLOS A LA BRASA INC,18 04,COLLEGE POINT,Queens,11356,"18 04  COLLEGE POINT, Queens, NY",100,,yes,no,yes,no,,,,
roadway,Jintana Thai farmhouse,Jintana Thai farm house,Jintana Thai farm house,344,Seventh ave,Brooklyn,11215,"344 Seventh ave, Brooklyn, NY",,160,no,yes,yes,no,,40.666493,-73.981926,Park Slope-Gowanus
sidewalk,G.V.S Bakery,G.V.S Bakery,Martha's Country Bakery,36-21,DItmars Blvd,Queens,11105,"36-21 DItmars Blvd, Queens, NY",476,,yes,no,no,no,,40.774216,-73.907976,Steinway
roadway,MIMI CHENG'S DUMPLINGS,JOYFUL EATS THREE LLC,MIMI CHENG'S DUMPLINGS,undefined,309 AMSTERDAM AVENUE,Manhattan,10023,"309 AMSTERDAM AVENUE, Manhattan, NY",,136,no,yes,yes,yes,yes,40.780238,-73.980433,Upper West Side
both,LoLo's Seafood Shack,303 Fare LLC,LoLo's Seafood Shack,303,West 116th St.,Manhattan,10026,"303 West 116th St., Manhattan, NY",90,96,yes,yes,yes,no,,40.804538,-73.955625,Central Harlem South
both,The CopperPot,Chief's tasty catering llc,The CopperPot,347,Van brunt st,Brooklyn,11231,"347  Van brunt st, Brooklyn, NY",280,120,yes,yes,yes,no,,40.677245,-74.013015,Carroll Gardens-Columbia Street-Red Hook
both,Pil pil spanish tapas,Pil Pil spanish tapas inc,Pil Pil spanish tapas inc,265 east,78,Manhattan,10075,"265 east 78, Manhattan, NY",1000,150,yes,yes,yes,yes,yes,,,
roadway,simons bar and kitchen,simons bar and kitchen inc,simons bar and kitchen inc,483,grand st,Brooklyn,11249,"483 grand st, Brooklyn, NY",,500,no,yes,yes,no,,40.711007,-73.951907,North Side-South Side
sidewalk,Hook and Reel Cajun Seafood Restaurant,Hook Reel Inc.,Hook and Reel,2590 B,Hylan Blvd.,Staten Island,10306,"2590 B Hylan Blvd. , Staten Island, NY",384,,yes,no,yes,no,,40.569025,-74.111203,New Dorp-Midland Beach
both,Waterfront Ale House,Sam's 2nd Avenue Ale House Inc,Sam's Waterfront Ale House,540,Second Avenue,Manhattan,10016,"540 Second Avenue, Manhattan, NY",120,240,yes,yes,yes,no,,40.742162,-73.977745,Murray Hill-Kips Bay
both,Moon Star Grill,Xin Feng 1 inc.,Xin Feng 1 inc.,3519,Johnson Ave,Bronx,10463,"3519  Johnson Ave, Bronx, NY",150,120,yes,yes,yes,no,,40.885936,-73.909905,Spuyten Duyvil-Kingsbridge
both,natsumi,tatsu llc,tatsu restaurant  llc,226,w 50th st,Manhattan,10019,"226 w 50th st, Manhattan, NY",377,114,yes,yes,yes,no,,40.761668,-73.984651,Midtown-Midtown South
both,ALIBI CLUB,BAG OF DOBBERS INC.,ALIBI CLUB,undefined,242 DEKALB AVENUE,Brooklyn,11205,"242 DEKALB AVENUE, Brooklyn, NY",144,144,yes,yes,yes,no,,40.689475,-73.969501,Clinton Hill
sidewalk,RICO CHIMI,RICO CHIMI MYRTLE AVE CORP,RICO CHIMI,undefined,1492 MYRTLE AVENUE,Brooklyn,11237,"1492 MYRTLE AVENUE, Brooklyn, NY",450,,yes,no,no,no,,40.699199,-73.914517,Bushwick North
sidewalk,Mint Vegan,BTN Food Corp,Mint Vegan,535,Kings Highway,Brooklyn,11223,"535 Kings Highway, Brooklyn, NY",108,,yes,no,yes,no,,40.604502,-73.969591,Homecrest
sidewalk,KARAOKE BOHO/BOHO'S KITCHEN,812 BROADWAY INC,KARAOKE BOHO/BOHO'S KITCHEN,152,ORCHARD STREET,Manhattan,10002,"152 ORCHARD STREET, Manhattan, NY",120,,yes,no,yes,no,,40.720727,-73.988889,Chinatown
both,Sake bar Hagi 46,HAMA NEW YORK INC.,Sake Bar Hagi 46,358,West 46th st,Manhattan,10036,"358 West 46th st, Manhattan, NY",144,144,yes,yes,yes,no,,40.760463,-73.989528,Clinton
sidewalk,Stout,Stout II Inc,Stout II Inc,90,John Street,Manhattan,10038,"90  John Street, Manhattan, NY",360,,yes,no,yes,no,,40.708173,-74.006464,Battery Park City-Lower Manhattan
roadway,Percy's Pizza,South Brooklyn Pizza,Percy's Pizza,190,Bleecker St,Manhattan,10012,"190 Bleecker St, Manhattan, NY",,88,no,yes,no,no,,40.729261,-74.001404,West Village
roadway,DINOSAUR BAR-B-QUE,DINOSAUR RESTAURANTS LLC,DINOSAUR BAR-B-QUE,undefined,2276 12 AVENUE,Manhattan,10027,"2276 12 AVENUE, Manhattan, NY",,231,no,yes,yes,no,,40.817797,-73.960851,Manhattanville
sidewalk,Sauce Restaurant,Sauce Management LLC,Sauce Restaurant,78,Rivington Street,Manhattan,10002,"78 Rivington Street, Manhattan, NY",1066,,yes,no,yes,no,,40.72039,-73.989379,Chinatown
sidewalk,Congress bar,Jim and Andy inc,Congress Bar,208,Court street,Brooklyn,11202,"208  Court street, Brooklyn, NY",45,,yes,no,yes,yes,yes,40.686857,-73.993748,Carroll Gardens-Columbia Street-Red Hook
sidewalk,Minnie's Bar,885 sunset llc,Minnie's Bar,885,4th avenue,Brooklyn,11232,"885 4th avenue, Brooklyn, NY",77,,yes,no,yes,no,,40.655852,-74.002808,Sunset Park West
both,BONAO BAR AND GRILL,EL NUEVO BONAO RESTAURANT CORP,BONAO BAR AND GRILL,undefined,123 JAMAICA AVENUE,Brooklyn,11207,"123 JAMAICA AVENUE, Brooklyn, NY",651,528,yes,yes,yes,no,,40.678922,-73.895828,Cypress Hills-City Line
sidewalk,El Gran Coffee Shop,El Gran Coffee Shop,El Gran Coffee Shop,86-10,Roosevelt Ave.,Queens,11372,"86-10  Roosevelt Ave., Queens, NY",420,,yes,no,yes,no,,40.748039,-73.879988,Elmhurst
both,Brady's Bar and Grill,Lough Duff Rest Inc.,Lough Duff Rest Inc.,1583,2nd Avenue,Manhattan,10028,"1583 2nd Avenue, Manhattan, NY",1309,704,yes,yes,yes,no,,40.775441,-73.953532,Yorkville
both,L'cala,L'cala bar lounge Corp,L'cala bar lounge Corp,33-02,36 avenue,Queens,11106,"33-02 36 avenue , Queens, NY",320,320,yes,yes,yes,no,,40.755767,-73.928027,Queensbridge-Ravenswood-Long Island City
both,The Mark by Jean-Georges,Mark 2 Restaurant LLC,Mark 2 Restaurant LLC,25,77th Street,Manhattan,10075,"25 77th Street, Manhattan, NY",343,392,yes,yes,yes,no,,,,
roadway,READY TO EAT,FUSION CATERING INC.,READY TO EAT,undefined,525 HUDSON STREET,Manhattan,10014,"525 HUDSON STREET, Manhattan, NY",,96,no,yes,no,yes,yes,40.734059,-74.006253,West Village
both,nest restaurant,keds 1 corp,nest restaurant and bar,125-17,101 ave,Queens,11419,"125-17 101 ave, Queens, NY",510,240,yes,yes,yes,no,,40.691469,-73.820692,Richmond Hill
both,Lechon Hornado Ecuatoriano Corp,Lechon Hornado Ecuatoriano Corp,Lechon Hornado Ecuatoriano Corp,76-18,Roosevelt Avenue,Queens,11372,"76-18 Roosevelt Avenue, Queens, NY",714,272,yes,yes,yes,no,,40.747057,-73.889323,Elmhurst
sidewalk,kennedy's Restaurant,Kennedy's of Breezy Point,Kennedy's of Breezy Point,406,Bayside,Queens,11697,"406 Bayside, Queens, NY",1200,,yes,no,yes,no,,40.561495,-73.920643,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
both,Urubamba,Intibamba inc,Urubamba Restaurant,86-20,87 street and 37th ave,Queens,11372,"86-20 87 street and 37th ave, Queens, NY",1530,512,yes,yes,yes,yes,yes,,,
both,WEST WINE BAR,SEVINC WINE&CHEESE LLC,WEST WINE BAR,71/A,67 WEST STREET,Brooklyn,11222,"71/A 67 WEST STREET, Brooklyn, NY",190,304,yes,yes,yes,no,,,,
both,WOORI SUSHI,WOORI SUSAN CORP,WOORI SUSHI,188-15,NORTHERN BLVD,Queens,11358,"188-15 NORTHERN BLVD, Queens, NY",660,880,yes,yes,yes,no,,40.757769,-73.792803,Murray Hill
sidewalk,Momo Sushi,True Momo Sushi LLC,Momo Sushi,239,Park Avenue,Manhattan,10003,"239 Park Avenue, Manhattan, NY",216,,yes,no,yes,yes,yes,40.754609,-73.975846,Turtle Bay-East Midtown
both,ZZ's Clam Bar,169 Thompson Restaurant LLC,169 Thompson Restaurant LLC,169,Thompson St,Manhattan,10012,"169  Thompson St, Manhattan, NY",216,144,yes,yes,yes,no,,40.727656,-74.000336,West Village
sidewalk,BEAN &amp; BARLEY,DAWNII INC,BEAN &amp; BARLEY,undefined,2118 FREDERICK DOUGLASS BOULEVARD,Manhattan,10026,"2118 FREDERICK DOUGLASS BOULEVARD, Manhattan, NY",385,,yes,no,yes,no,,40.803427,-73.956081,Central Harlem South
openstreets,CRIF DOGS / PLEASE DON'T TELL,"CRIF DOGS ENTERPRISES, INC",CRIF DOGS / PLEASE DON'T TELL,undefined,113 ST MARKS PLACE,Manhattan,10009,"113 ST MARKS PLACE, Manhattan, NY",,,no,no,yes,no,,40.727303,-73.98458,East Village
sidewalk,Tuk Tuk,Thai LIC Inc,Tuk Tuk,4906,Vernon Blvd,Queens,11101,"4906 Vernon Blvd, Queens, NY",48,,yes,no,yes,no,,40.743286,-73.953927,Hunters Point-Sunnyside-West Maspeth
sidewalk,Hillstone Restaurant,Hillstone Restaurant Group INC.,Hillstone Restaurant Group INC.,378,Park Avenue South,Manhattan,10010,"378 Park Avenue South, Manhattan, NY",2376,,yes,no,yes,yes,yes,40.74249,-73.984695,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,RAVAGH PERSIAN GRILL,171 MADISON KABOB CORP.,RAVAGH PERSIAN GRILL,undefined,171 MADISON AVENUE,Manhattan,10016,"171 MADISON AVENUE, Manhattan, NY",120,,yes,no,yes,no,,40.74726,-73.983316,Midtown-Midtown South
sidewalk,Sushi Ren,Renzan Sushi Corporation,Renzan Sushi Corporation,1584,2nd Ave,Manhattan,10028,"1584 2nd Ave, Manhattan, NY",960,,yes,no,yes,no,,40.775438,-73.953507,Yorkville
both,Bite,Novel foods Inc.,Bite,62,West 22nd Street,Manhattan,10010,"62 West 22nd Street, Manhattan, NY",112,112,yes,yes,yes,yes,yes,40.741667,-73.991963,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,NUEVO TACOS AL SUADERO,JOHN?S FOOD CORP,JOHN?S FOOD CORP,97-22,ROOSEVELT AVE,Queens,11368,"97-22 ROOSEVELT AVE, Queens, NY",208,,yes,no,yes,no,,40.749291,-73.868166,North Corona
both,3 JAK RESTAURANT CORP,3 JAK RESTAURANT CORP,CARIDAD & LOUIE S RESTAURANT,1660,E GUN HILL RD,Bronx,10469,"1660   E GUN HILL RD, Bronx, NY",325,288,yes,yes,yes,no,,40.866024,-73.837717,Allerton-Pelham Gardens
roadway,Leslie's Kitchen,L&R restaurant corp,L&R restaurant corp,109,wilson ave,Brooklyn,11237,"109  wilson ave, Brooklyn, NY",,208,no,yes,yes,no,,40.701277,-73.926719,Bushwick North
roadway,SPEEDY ROMEO,"SPEEDY ROMEO, LLC",SPEEDY ROMEO,undefined,376 CLASSON AVENUE,Brooklyn,11238,"376 CLASSON AVENUE, Brooklyn, NY",,176,no,yes,yes,no,,40.687526,-73.959745,Clinton Hill
both,Joseph Leonard,Happy Cooking LLC,Joseph Leonard,170,Waverly Place,Manhattan,10014,"170 Waverly Place, Manhattan, NY",84,224,yes,yes,yes,yes,yes,40.733658,-74.001577,West Village
roadway,JOES STEAM RICE ROLL,STEAM RICE ROLL INC,JOES STEAM RICE ROLL,undefined,422 AMSTERDAM AVENUE,Manhattan,10024,"422 AMSTERDAM AVENUE, Manhattan, NY",,144,no,yes,no,yes,yes,40.784028,-73.977695,Upper West Side
both,The Stand Restaurant & Comedy Club,239 Entertainment llc,239 Entertainment llc d/b/a The Stand,116,East 16th Street,Manhattan,10003,"116  East 16th Street , Manhattan, NY",336,368,yes,yes,yes,no,,40.73548,-73.98828,Gramercy
roadway,EATS,MJAJ FOOD CORP,eats,undefined,1055 LEXINGTON AVENUE,Manhattan,10021,"1055 LEXINGTON AVENUE, Manhattan, NY",,224,no,yes,yes,yes,yes,40.772273,-73.960846,Upper East Side-Carnegie Hill
roadway,Porterhouse brew co & Lovelace cocktail bar,Lovelace Tavern LLC,Porterhouse Brew Co & Lovelace cocktail bar,66,Pearl street,Manhattan,10004,"66 Pearl street, Manhattan, NY",,240,no,yes,yes,yes,yes,40.703611,-74.010932,Battery Park City-Lower Manhattan
sidewalk,Bedford Falls,Chessa LLC,Chessa LLC,206,East 67th street,Manhattan,10065,"206  East 67th street, Manhattan, NY",200,,yes,no,yes,no,,40.76637,-73.962502,Lenox Hill-Roosevelt Island
both,Margherita NYC,Margherita Corp,Margherita NYC,197,Grand Street,Manhattan,10013,"197  Grand Street , Manhattan, NY",96,96,yes,yes,yes,no,,40.71918,-73.996894,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,La Contenta Oeste,French Roast Inc,La Contenta Oeste,78,West 11th Street,Manhattan,10011,"78  West 11th Street, Manhattan, NY",300,,yes,no,yes,yes,yes,40.734981,-73.997326,West Village
sidewalk,Calaca of Bk,Calaca of Bk Inc,Calaca of Bk Inc,139,Putnam Ave,Brooklyn,11238,"139 Putnam Ave, Brooklyn, NY",361,,yes,no,yes,no,,40.683289,-73.95656,Clinton Hill
sidewalk,BATI,GOJO ETHIOPIAN RESTAURANT INC,BATI,undefined,747 FULTON STREET,Brooklyn,11217,"747 FULTON STREET, Brooklyn, NY",90,,yes,no,yes,no,,40.686457,-73.974771,Fort Greene
both,PETE'S CAFE,"570 E FORDHAM RD FOOD SERVICE, CORP","570 E FORDHAM RD FOOD SERVICE, CORP",570,E FORDHAM RD,Bronx,10458,"570 E FORDHAM RD, Bronx, NY",975,520,yes,yes,yes,no,,40.858778,-73.885836,Belmont
both,ELORA 272 INC,ELORA 272 INC,ELORA SPANISH MEXICAN RESTAURANT,272,PROSPECT PARK W,Brooklyn,11215,"272 PROSPECT PARK W, Brooklyn, NY",800,400,yes,yes,yes,no,,40.658357,-73.982199,Windsor Terrace
roadway,NEEROB RESTAURANT,NEEROB INC,NEEROB RESTAURANT,undefined,2096 STARLING AVENUE,Bronx,10462,"2096 STARLING AVENUE, Bronx, NY",,176,no,yes,no,no,,40.836017,-73.855241,Parkchester
both,TROQUET,ACT VENTURES LLC,ACT VENTURES LLC,155,GRAND STREET,Brooklyn,10013,"155 GRAND STREET, Brooklyn, NY",1008,1197,yes,yes,yes,no,,40.719962,-73.998911,SoHo-TriBeCa-Civic Center-Little Italy
both,PIATTO LIC,PIATTO LLC,PIATTO LLC,18264,50TH AVE,Queens,11101,"1-50  50TH AVE, Queens, NY",300,80,yes,yes,yes,no,,40.743642,-73.958878,Hunters Point-Sunnyside-West Maspeth
roadway,NJOY FAMILY CAFE,N'JOY ENTERTAINMENT CENTER INC,N'joy Cafe,undefined,2874 CONEY ISLAND AVENUE,Brooklyn,11235,"2874 CONEY ISLAND AVENUE, Brooklyn, NY",,536,no,yes,no,no,,40.586251,-73.960515,Brighton Beach
both,264 suydam LLC,264 SUYDAM LLC,Grilled!,undefined,264 SUYDAM STREET,Brooklyn,11237,"264 SUYDAM STREET, Brooklyn, NY",200,400,yes,yes,no,no,,40.70226,-73.923577,Bushwick North
sidewalk,EL TORO BLANCO,NACO NYC LLC,HANCOCK ST,undefined,10 DOWNING STREET,Manhattan,10014,"10 DOWNING STREET, Manhattan, NY",660,,yes,no,yes,yes,yes,40.729596,-74.002825,West Village
both,THE MILLING ROOM,NYC1890 LLC,THE MILLING ROOM,undefined,446 COLUMBUS AVENUE,Manhattan,10024,"446 COLUMBUS AVENUE, Manhattan, NY",180,960,yes,yes,yes,no,,40.78353,-73.97434,Upper West Side
both,Cafe Ines,ARC 74th,ARC 74th St LLc,419,74th St,Manhattan,10021,"419 74th St, Manhattan, NY",128,189,yes,yes,yes,no,,,,
sidewalk,La Flor Restaurant & Cafe,La Flor Restaurant Cafe Corp,La Flor Restaurant Cafe Corp,53-02,Roosevelt AVe.,Queens,11378,"53-02 Roosevelt AVe. , Queens, NY",275,,yes,no,yes,no,,40.74451,-73.911345,Woodside
sidewalk,C. Di Palo,"LSMC, LLC",C. Di Palo,151-153,mott street,Manhattan,10013,"151-153 mott street, Manhattan, NY",432,,yes,no,yes,no,,40.719221,-73.996421,SoHo-TriBeCa-Civic Center-Little Italy
both,CHEBI COFFEE SHOP,CHEBI COFFEE SHOP INC,CHEBI COFFEE SHOP,undefined,1739 WEST    7 STREET,Brooklyn,11223,"1739 WEST    7 STREET, Brooklyn, NY",630,336,yes,yes,no,no,,40.604759,-73.980081,Bensonhurst East
both,The Smith,TS4 Hospitality LLC,The Smith,1150,Broadway,Manhattan,10001,"1150 Broadway, Manhattan, NY",2112,1488,yes,yes,yes,yes,yes,40.744228,-73.988917,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Jang dok dae,Sarangbang inc,Sarangbang inc,149-22 41,"149-22  41th Ave, FLUSHING",Queens,11355,"149-22 41 149-22  41th Ave, FLUSHING, Queens, NY",128,,yes,no,yes,no,,,,
both,glorietta baldy,502 franklin ave llc,glorietta baldy,502,franklin avenue,Brooklyn,11238,"502 franklin avenue, Brooklyn, NY",255,240,yes,yes,yes,no,,40.681502,-73.955754,Clinton Hill
both,The Pressbox,Branden Restaurant llc,Branden Restaurant llc,932,2 avenue,Manhattan,10022,"932 2 avenue, Manhattan, NY",168,210,yes,yes,yes,no,,40.754536,-73.968757,Turtle Bay-East Midtown
both,Canyon Road Grill,Farciert Inc,Canyon Road Grill,1470,First Ave,Manhattan,10075,"1470 First Ave, Manhattan, NY",375,200,yes,yes,yes,no,,40.770703,-73.953871,Lenox Hill-Roosevelt Island
sidewalk,El Parador Cafe,Alejandro & Sons Restaurant Corp,El Parador Cafe,325,East 34th street,Manhattan,10016,"325  East 34th street, Manhattan, NY",275,,yes,no,yes,no,,40.744355,-73.974846,Murray Hill-Kips Bay
both,ISABELL'S OSTERIA,"GRAMERCY FARMER &amp; THE FISH, LLC",ISABELL'S OSTERIA,undefined,247A PARK AVENUE SOUTH,Manhattan,10003,"247A PARK AVENUE SOUTH, Manhattan, NY",329,376,yes,yes,yes,no,,40.738162,-73.987843,Gramercy
both,El Cantinero,Beau Maison Corp,El Cantinero,86,University Place,Manhattan,10003,"86 University Place , Manhattan, NY",468,208,yes,yes,yes,no,,40.733576,-73.993105,West Village
sidewalk,Song's Dumpling Cafe,Song's Dumpling Cafe,Song's Dumpling Cafe,102-06,Metropolitan Ave,Queens,11357,"102-06  Metropolitan Ave, Queens, NY",50,,yes,no,no,yes,yes,40.710434,-73.850734,Forest Hills
sidewalk,STARBUCKS #54446,STARBUCKS CORPORATION,STARBUCKS #54446,undefined,325 LAFAYETTE AVENUE,Brooklyn,11238,"325 LAFAYETTE AVENUE, Brooklyn, NY",120,,yes,no,no,no,,40.688627,-73.962283,Clinton Hill
both,SMITH'S TAVERN,"SMITH'S TAVERN, LLC",SMITH'S TAVERN,undefined,440 5 AVENUE,Brooklyn,11215,"440 5 AVENUE, Brooklyn, NY",36,72,yes,yes,yes,no,,40.669364,-73.986158,Park Slope-Gowanus
sidewalk,Mojo,"2k Cafe Ole, Inc.",Mojo,70-20,Austin Street,Queens,11375,"70-20 Austin Street, Queens, NY",195,,yes,no,yes,no,,40.720697,-73.846274,Forest Hills
both,Sette mezzo,Genior inc,Genior inc,969,Lexington,Manhattan,10021,"969 Lexington, Manhattan, NY",260,260,yes,yes,yes,yes,yes,,,
sidewalk,True Colors,True Colors Bar Inc,True Colors Bar Inc,7915,Roosevelt Ave,Queens,11372,"7915 Roosevelt Ave , Queens, NY",360,,yes,no,yes,no,,40.747376,-73.886486,Jackson Heights
sidewalk,Richard's Hall & Lounge inc,Richard's Hall and Lounge inc,Richard's Restaurant and Bar,9404,Ave L,Brooklyn,11236,"9404  Ave L, Brooklyn, NY",270,,yes,no,yes,no,,40.637274,-73.89745,Canarsie
both,Sabor Guarani Corp.,Sabor Guarani Corp.,Spanglish,4004,bell boulevard,Queens,11361,"4004 bell boulevard, Queens, NY",160,160,yes,yes,yes,no,,40.764142,-73.771275,Bayside-Bayside Hills
openstreets,Orchard Grocer,Orchard Grocer,Orchard Grocer,78,78 Orchard Street,Manhattan,10002,"78 78 Orchard Street, Manhattan, NY",,,no,no,no,no,,,,
both,Artichoke Basille's Pizza,West 17th Street Italian Restaurant LLC,Artichoke Basille's Pizza,457,W 17th Street,Manhattan,10011,"457 W 17th Street, Manhattan, NY",350,560,yes,yes,yes,no,,40.743742,-74.006027,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,GREY DOLPHIN SPORTS BAR &amp; LOUNGE,GREY DOLPHIN SPORTS BAR &amp; LOUNGE INC,GREY DOLPHIN SPORTS BAR & LOUNGE,undefined,22320 LINDEN BLVD,Queens,11411,"22320 LINDEN BLVD, Queens, NY",1134,,yes,no,yes,no,,40.694229,-73.737267,Cambria Heights
sidewalk,Filicori-Zecchini,"FSM VENTURE 95, LLC",Filicori-Zecchini,undefined,2541 BROADWAY,Manhattan,10025,"2541 BROADWAY, Manhattan, NY",108,,yes,no,no,no,,40.794086,-73.972216,Upper West Side
both,FOR ALL THINGS GOOD,BROOKLYN MOLINO LLC,FOR ALL THINGS GOOD,undefined,343 FRANKLIN AVENUE,Brooklyn,11238,"343 FRANKLIN AVENUE, Brooklyn, NY",192,208,yes,yes,yes,no,,40.687621,-73.956954,Bedford
